course_id,course_name,course_area,local,priority_rank,priority_score,priority_level,priority_assessment,score_difference,score_agreement,hiring_pressure_rank,hiring_pressure_score,hiring_pressure_tier,hiring_main_pressure_driver,cross_hiring_rank,cross_hiring_score,cross_hiring_tier,cross_main_pressure_driver,workforce_base_score,workforce_vulnerability_tier,workforce_main_risk_driver,actions_base_score,actions_pressure_tier,actions_main_pressure_driver,commercial_base_score,commercial_pressure_tier,commercial_main_pressure_driver,training_hours_per_trainer,concurrent_actions_per_trainer,weekly_sales_per_trainer,sustained_demand_pressure,shared_trainer_capacity_pressure,workload_pressure_score,concurrency_pressure_score,commercial_coverage_pressure_score,sustained_demand_pressure_score,shared_trainer_capacity_pressure_score
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 3,1,83.46,High,High priority with moderate agreement,23.03,Moderate agreement,4,71.95,Upper-middle,Actions,1,94.98,High,Sustained demand,56.0,Upper-middle,Trainer scarcity,89.71,High,Volume,68.34,Upper-middle,Volume,49.17,1.8,4.97,0.8796,0.1861,98.33333333333333,97.91666666666666,85.83333333333333,99.16666666666667,88.33333333333333
SST,Saúde e Segurança no Trabalho,Segurança,Centro 1,2,83.3,High,Confirmed high priority,12.15,Strong agreement,1,77.23,High,Workforce,5,89.38,High,Concurrent actions,82.0,High,Trainer scarcity,76.69,High,Volume,68.76,Upper-middle,Volume,20.87,1.9,6.94,0.6932,0.153,87.5,100.0,96.66666666666667,78.33333333333333,79.16666666666666
LOG,Logística e Gestão de Armazém,Logística,Centro 5,3,81.44,High,Confirmed high priority,11.66,Strong agreement,2,75.61,High,Workforce,7,87.27,High,Commercial demand,82.0,High,Trainer scarcity,70.41,Upper-middle,Volume,73.26,Upper-middle,Volume,20.32,1.5,8.18,0.8509,0.1371,86.66666666666667,84.58333333333333,99.16666666666667,96.66666666666667,71.66666666666667
PBI,Power BI e Visualização de Dados,Informática,Centro 2,4,80.72,High,High priority with moderate agreement,25.81,Moderate agreement,12,67.81,Upper-middle,Actions,2,93.62,High,Commercial demand,34.8,Lower-middle,Multicourse trainers,94.74,High,Simultaneity,79.95,High,Volume,26.83,1.55,7.22,0.8626,0.2273,92.5,90.0,97.5,97.5,94.16666666666667
PYT,Introdução à Programação em Python,Informática,Centro 2,5,80.53,High,High priority with moderate agreement,22.32,Moderate agreement,7,69.37,Upper-middle,Actions,4,91.69,High,Training workload,56.0,Upper-middle,Trainer scarcity,86.9,High,Simultaneity,61.04,Upper-middle,Volume,30.39,1.67,5.12,0.7615,0.1899,95.0,93.75,87.5,88.33333333333333,89.16666666666667
CYB,Cibersegurança Básica,Informática,Centro 1,6,80.42,High,High priority with moderate agreement,12.0,Moderate agreement,3,74.42,Upper-middle,Actions,9,86.42,High,Shared trainer capacity,69.3,Upper-middle,Trainer scarcity,81.18,High,Volume,71.17,Upper-middle,Volume,18.55,1.33,6.11,0.8088,0.2507,82.5,76.66666666666667,95.0,92.5,95.83333333333334
MNT,Manutenção Industrial Básica,Manutenção,Centro 1,7,78.78,High,High priority with moderate agreement,21.14,Moderate agreement,9,68.21,Upper-middle,Actions,6,89.35,High,Training workload,72.0,Upper-middle,Trainer scarcity,74.37,Upper-middle,Volume,48.28,Lower-middle,Volume,36.86,1.7,4.72,0.6942,0.1532,97.5,95.41666666666667,82.5,79.16666666666666,80.0
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 3,8,77.96,High,High priority with moderate agreement,28.19,Moderate agreement,25,63.87,Upper-middle,Actions,3,92.06,High,Training workload,62.7,Upper-middle,Trainer scarcity,71.83,Upper-middle,Simultaneity,50.28,Upper-middle,Volume,58.87,1.67,4.15,0.7202,0.3167,100.0,93.75,75.0,82.5,100.0
EXC,Excel Aplicado à Gestão,Informática,Centro 4,9,77.84,High,High priority with moderate agreement,12.91,Moderate agreement,5,71.38,Upper-middle,Actions,12,84.29,High,Commercial demand,49.3,Lower-middle,Trainer scarcity,88.26,High,Volume,81.82,High,Volume,22.85,1.33,6.71,0.8254,0.1213,89.16666666666667,76.66666666666667,95.83333333333334,93.33333333333333,66.66666666666666
CYB,Cibersegurança Básica,Informática,Centro 2,10,77.65,High,High priority with moderate agreement,18.9,Moderate agreement,10,68.2,Upper-middle,Actions,8,87.1,High,Commercial demand,49.3,Lower-middle,Trainer scarcity,85.57,High,Simultaneity,71.26,Upper-middle,Volume,17.97,1.8,9.13,0.7954,0.1117,81.66666666666667,97.91666666666666,100.0,90.83333333333333,63.33333333333333
PYT,Introdução à Programação em Python,Informática,Centro 1,11,76.47,High,High priority with moderate agreement,17.05,Moderate agreement,11,67.95,Upper-middle,Actions,10,85.0,High,Shared trainer capacity,62.7,Upper-middle,Trainer scarcity,80.0,High,Simultaneity,54.37,Upper-middle,Volume,22.76,1.47,4.47,0.7068,0.2238,88.33333333333333,82.5,78.33333333333333,80.83333333333333,93.33333333333333
EXC,Excel Aplicado à Gestão,Informática,Centro 2,12,73.87,Upper-middle,Moderate priority,15.46,Moderate agreement,15,66.14,Upper-middle,Commercial,13,81.6,High,Commercial demand,49.4,Lower-middle,Trainer scarcity,76.45,High,Volume,79.0,High,Volume,19.19,1.53,5.42,0.7818,0.0961,85.0,87.91666666666667,90.83333333333333,90.0,46.666666666666664
CYB,Cibersegurança Básica,Informática,Centro 4,13,72.81,Upper-middle,Moderate priority,10.35,Moderate agreement,13,67.63,Upper-middle,Actions,17,77.98,High,Sustained demand,39.8,Lower-middle,Multicourse trainers,92.68,High,Volume,73.2,Upper-middle,Volume,15.75,1.0,7.99,0.9273,0.2432,73.33333333333333,47.91666666666667,98.33333333333333,100.0,95.0
VND,Vendas e Negociação,Comercial,Centro 4,14,72.45,Upper-middle,Moderate priority,12.3,Moderate agreement,14,66.3,Upper-middle,Workforce,16,78.6,High,Concurrent actions,72.0,Upper-middle,Trainer scarcity,61.16,Upper-middle,Volume,65.2,Upper-middle,Volume,17.47,1.7,5.76,0.5878,0.0958,80.0,95.41666666666667,93.33333333333333,65.83333333333333,45.83333333333333
PBI,Power BI e Visualização de Dados,Informática,Centro 4,15,72.37,Upper-middle,Moderate priority,25.18,Moderate agreement,32,59.78,Upper-middle,Actions,11,84.96,High,Sustained demand,17.2,Low,Multicourse trainers,92.62,High,Simultaneity,79.26,High,Volume,17.39,1.57,4.08,0.8786,0.1704,79.16666666666666,90.83333333333333,73.33333333333333,98.33333333333333,85.0
MNT,Manutenção Industrial Básica,Manutenção,Centro 5,16,71.9,Upper-middle,Moderate priority,11.51,Moderate agreement,15,66.14,Upper-middle,Actions,18,77.65,High,Sustained demand,62.6,Upper-middle,Trainer scarcity,72.4,Upper-middle,Volume,60.68,Upper-middle,Volume,18.86,1.13,4.82,0.7629,0.143,83.33333333333334,62.083333333333336,83.33333333333334,89.16666666666667,75.0
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 5,17,70.82,Upper-middle,Moderate priority,15.83,Moderate agreement,27,62.9,Upper-middle,Workforce,15,78.73,High,Concurrent actions,72.0,Upper-middle,Trainer scarcity,58.15,Upper-middle,Volume,54.22,Upper-middle,Volume,28.32,1.8,5.16,0.4927,0.1002,93.33333333333333,97.91666666666666,88.33333333333333,36.666666666666664,50.0
PBI,Power BI e Visualização de Dados,Informática,Centro 3,18,70.58,Upper-middle,Moderate priority,12.92,Moderate agreement,24,64.12,Upper-middle,Actions,20,77.04,High,Shared trainer capacity,44.8,Lower-middle,Multicourse trainers,83.97,High,Simultaneity,63.03,Upper-middle,Volume,16.1,1.2,3.92,0.7014,0.3024,75.0,69.16666666666667,69.16666666666667,80.0,99.16666666666667
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 3,19,70.55,Upper-middle,Moderate priority,10.24,Moderate agreement,17,65.43,Upper-middle,Workforce,22,75.67,High,Commercial demand,72.0,Upper-middle,Trainer scarcity,62.94,Upper-middle,Volume,57.26,Upper-middle,Volume,18.97,1.2,5.96,0.7414,0.0916,84.16666666666667,69.16666666666667,94.16666666666667,84.16666666666667,42.5
PBI,Power BI e Visualização de Dados,Informática,Centro 5,20,70.26,Upper-middle,Moderate priority,9.79,Moderate agreement,18,65.36,Upper-middle,Commercial,23,75.15,High,Commercial demand,62.7,Upper-middle,Trainer scarcity,64.45,Upper-middle,Simultaneity,72.48,Upper-middle,Volume,16.47,1.13,5.02,0.6424,0.1645,75.83333333333333,62.083333333333336,86.66666666666667,75.0,84.16666666666667
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 4,21,69.1,Upper-middle,Moderate priority,14.01,Moderate agreement,29,62.09,Upper-middle,Actions,21,76.1,High,Training workload,56.0,Upper-middle,Trainer scarcity,76.18,High,Simultaneity,46.09,Lower-middle,Conversion,34.19,1.53,2.68,0.5116,0.1569,95.83333333333334,87.91666666666667,46.666666666666664,40.833333333333336,81.66666666666667
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 2,22,68.9,Upper-middle,Moderate priority,24.89,Moderate agreement,38,56.46,Upper-middle,Actions,14,81.35,High,Training workload,49.3,Lower-middle,Trainer scarcity,67.31,Upper-middle,Simultaneity,49.12,Lower-middle,Volume,58.5,1.53,3.16,0.5487,0.1909,99.16666666666667,87.91666666666667,56.666666666666664,50.83333333333333,90.0
LOG,Logística e Gestão de Armazém,Logística,Centro 2,23,68.42,Upper-middle,Moderate priority,7.86,Strong agreement,22,64.49,Upper-middle,Workforce,25,72.35,Upper-middle,Concurrent actions,69.3,Upper-middle,Trainer scarcity,59.2,Upper-middle,Simultaneity,65.44,Upper-middle,Volume,10.77,1.53,3.69,0.6204,0.177,55.833333333333336,87.91666666666667,65.0,72.5,86.66666666666667
SEG,Segurança no Trabalho,Segurança,Centro 5,24,68.1,Upper-middle,Moderate priority,3.9,Strong agreement,6,70.05,Upper-middle,Commercial,33,66.15,Upper-middle,Sustained demand,62.6,Upper-middle,Trainer scarcity,74.84,Upper-middle,Regularity,75.36,High,Volume,8.22,1.13,5.62,0.8336,0.1426,37.5,62.083333333333336,92.5,95.83333333333334,74.16666666666667
GES,Gestão de Equipas,Gestão,Centro 4,25,67.53,Upper-middle,Moderate priority,20.15,Moderate agreement,37,57.45,Upper-middle,Workforce,19,77.6,High,Concurrent actions,72.0,Upper-middle,Trainer scarcity,47.2,Lower-middle,Simultaneity,48.86,Lower-middle,Volume,15.18,1.8,4.88,0.5833,0.111,72.5,97.91666666666666,84.16666666666667,64.16666666666667,60.83333333333333
PRI,Primeiros Socorros,Saúde e Segurança,Centro 3,26,67.03,Upper-middle,Moderate priority,4.6,Strong agreement,8,69.33,Upper-middle,Actions,37,64.73,Upper-middle,Sustained demand,56.0,Upper-middle,Trainer scarcity,78.22,High,Regularity,78.21,High,Volume,10.87,1.0,5.28,0.8315,0.1054,57.49999999999999,47.91666666666667,89.16666666666667,94.16666666666667,53.333333333333336
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 2,27,66.33,Upper-middle,Moderate priority,16.38,Strong agreement,33,58.14,Upper-middle,Workforce,24,74.52,Upper-middle,Concurrent actions,62.0,Upper-middle,Trainer scarcity,54.75,Upper-middle,Volume,57.21,Upper-middle,Conversion,26.39,1.6,4.93,0.5664,0.0454,91.66666666666666,92.08333333333333,85.0,59.166666666666664,15.833333333333332
CYB,Cibersegurança Básica,Informática,Centro 3,28,65.82,Upper-middle,Moderate priority,7.81,Strong agreement,30,61.92,Upper-middle,Actions,27,69.73,Upper-middle,Shared trainer capacity,44.8,Lower-middle,Multicourse trainers,76.22,High,Volume,67.55,Upper-middle,Volume,10.88,1.05,4.62,0.7418,0.1942,58.333333333333336,55.41666666666667,80.0,85.0,90.83333333333333
EXC,Excel Aplicado à Gestão,Informática,Centro 1,29,65.76,Upper-middle,Moderate priority,6.94,Strong agreement,28,62.29,Upper-middle,Commercial,28,69.23,Upper-middle,Shared trainer capacity,56.0,Upper-middle,Trainer scarcity,59.44,Upper-middle,Volume,80.56,High,Volume,14.84,1.0,4.45,0.6916,0.164,71.66666666666667,47.91666666666667,77.5,77.5,83.33333333333334
SEG,Segurança no Trabalho,Segurança,Centro 1,30,65.39,Upper-middle,Moderate priority,1.76,Strong agreement,21,64.51,Upper-middle,Workforce,32,66.27,Upper-middle,Concurrent actions,72.0,Upper-middle,Trainer scarcity,62.42,Upper-middle,Regularity,53.68,Upper-middle,Conversion,10.12,1.5,4.7,0.5946,0.0911,53.333333333333336,84.58333333333333,81.66666666666667,70.83333333333334,41.66666666666667
SST,Saúde e Segurança no Trabalho,Segurança,Centro 5,31,63.98,Upper-middle,Moderate priority,0.91,Strong agreement,23,64.43,Upper-middle,Actions,39,63.52,Upper-middle,Sustained demand,44.8,Lower-middle,Multicourse trainers,81.18,High,Volume,70.21,Upper-middle,Volume,11.34,0.85,4.04,0.7447,0.176,61.66666666666667,34.583333333333336,70.83333333333334,85.83333333333333,85.83333333333333
SST,Saúde e Segurança no Trabalho,Segurança,Centro 4,32,63.92,Upper-middle,Moderate priority,1.74,Strong agreement,26,63.05,Upper-middle,Commercial,36,64.79,Upper-middle,Concurrent actions,62.7,Upper-middle,Trainer scarcity,61.18,Upper-middle,Simultaneity,67.49,Upper-middle,Conversion,10.14,1.33,3.66,0.5949,0.1108,54.166666666666664,76.66666666666667,64.16666666666667,71.66666666666667,60.0
PRO,Gestão de Projetos,Gestão,Centro 2,33,63.16,Upper-middle,Moderate priority,17.26,Strong agreement,44,54.53,Upper-middle,Actions,26,71.79,Upper-middle,Concurrent actions,49.3,Lower-middle,Trainer scarcity,60.61,Upper-middle,Simultaneity,52.83,Upper-middle,Volume,16.96,1.4,4.13,0.5606,0.1085,77.5,81.66666666666667,74.16666666666667,56.666666666666664,56.666666666666664
SCI,Segurança Contra Incêndios,Segurança,Centro 1,34,62.98,Upper-middle,Moderate priority,3.66,Strong agreement,20,64.81,Upper-middle,Actions,41,61.15,Upper-middle,Sustained demand,56.0,Upper-middle,Trainer scarcity,71.64,Upper-middle,Regularity,68.73,Upper-middle,Volume,7.79,1.2,5.42,0.8324,0.0955,35.0,64.58333333333334,90.0,95.0,45.0
TUR,Atendimento Turístico,Turismo,Centro 5,35,62.71,Upper-middle,Moderate priority,9.62,Strong agreement,36,57.9,Upper-middle,Workforce,30,67.52,Upper-middle,Concurrent actions,72.0,Upper-middle,Trainer scarcity,53.42,Upper-middle,Regularity,38.66,Lower-middle,Volume,14.4,1.6,3.79,0.5425,0.0971,67.5,92.08333333333333,66.66666666666666,46.666666666666664,48.333333333333336
LID,Liderança e Comunicação,Gestão,Centro 4,36,62.18,Upper-middle,Moderate priority,12.68,Strong agreement,41,55.84,Upper-middle,Workforce,29,68.52,Upper-middle,Commercial demand,62.0,Upper-middle,Trainer scarcity,49.8,Lower-middle,Simultaneity,55.59,Upper-middle,Volume,13.36,1.5,5.43,0.6216,0.0506,65.83333333333333,84.58333333333333,91.66666666666666,73.33333333333333,19.166666666666668
PBI,Power BI e Visualização de Dados,Informática,Centro 1,37,61.62,Upper-middle,Moderate priority,7.29,Strong agreement,35,57.98,Upper-middle,Actions,34,65.27,Upper-middle,Sustained demand,34.8,Lower-middle,Multicourse trainers,78.71,High,Volume,62.9,Upper-middle,Volume,14.74,0.85,3.61,0.8058,0.1634,70.0,34.583333333333336,63.33333333333333,91.66666666666666,82.5
PRO,Gestão de Projetos,Gestão,Centro 4,38,60.42,Upper-middle,Moderate priority,12.45,Strong agreement,45,54.2,Upper-middle,Actions,31,66.65,Upper-middle,Training workload,56.0,Upper-middle,Trainer scarcity,58.28,Upper-middle,Simultaneity,42.44,Lower-middle,Volume,15.94,1.2,3.6,0.5625,0.1282,74.16666666666667,64.58333333333334,62.5,57.49999999999999,68.33333333333333
